epoch (ms),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,participant,label,category,set,duration
2019-01-11 15:10:10.500,-0.123,0.9475,-0.148,-1.58525,-3.0945,14.17675,A,bench,heavy,72,16.0
2019-01-11 15:10:10.650,-0.0995,0.9525,-0.1195,-9.99975,0.3505,23.5975,A,bench,heavy,72,16.0
2019-01-11 15:10:10.800,-0.0455,0.9305,-0.0829999999999999,-14.654333333333334,15.487666666666668,30.366,A,bench,heavy,72,16.0
2019-01-11 15:10:10.950,0.0125,0.7410000000000001,-0.1654999999999999,6.448,-11.05175,1.3415000000000004,A,bench,heavy,72,16.0
2019-01-11 15:10:11.100,0.0165,1.032,-0.1065,6.57,-2.988,-1.6005,A,bench,heavy,72,16.0
2019-01-11 15:10:11.250,0.0049999999999999,0.9255,-0.124,4.58825,-3.7195,-5.945,A,bench,heavy,72,16.0
2019-01-11 15:10:11.400,-0.004,0.928,-0.135,8.557,-0.244,-9.634333333333332,A,bench,heavy,72,16.0
2019-01-11 15:10:11.550,-0.0235,0.825,-0.172,15.51825,-7.02725,-15.808,A,bench,heavy,72,16.0
2019-01-11 15:10:11.700,-0.0725,0.844,-0.195,17.05775,-4.878,-12.5,A,bench,heavy,72,16.0
2019-01-11 15:10:11.850,-0.111,0.895,-0.215,7.71325,-8.42975,-2.4542499999999996,A,bench,heavy,72,16.0
2019-01-11 15:10:12.000,-0.1164999999999999,0.897,-0.1955,-6.402666666666666,-14.37,12.601666666666668,A,bench,heavy,72,16.0
2019-01-11 15:10:12.150,-0.13125,1.2000000000000002,-0.1714999999999999,-8.033708333333333,-1.605749999999999,-3.645791666666668,A,bench,heavy,72,16.0
2019-01-11 15:10:12.300,-0.146,1.503,-0.1475,-9.66475,11.1585,-19.89325,A,bench,heavy,72,16.0
2019-01-11 15:10:12.450,-0.141,0.962,-0.1644999999999999,6.509,13.47575,-26.61575,A,bench,heavy,72,16.0
2019-01-11 15:10:12.600,-0.168,0.905,-0.203,13.13,4.369666666666666,-4.430666666666666,A,bench,heavy,72,16.0
2019-01-11 15:10:12.750,-0.1945,0.899,-0.214,2.22525,1.15875,-0.38125,A,bench,heavy,72,16.0
2019-01-11 15:10:12.900,-0.19,0.928,-0.238,-5.061,-1.47875,5.564,A,bench,heavy,72,16.0
2019-01-11 15:10:13.050,-0.1684999999999999,0.949,-0.21,-10.86875,-0.8995,13.994,A,bench,heavy,72,16.0
2019-01-11 15:10:13.200,-0.1335,0.963,-0.1644999999999999,-23.922666666666668,4.898333333333333,22.967666666666663,A,bench,heavy,72,16.0
2019-01-11 15:10:13.350,-0.0564999999999999,0.9375,-0.1025,-26.326,19.87825,32.5305,A,bench,heavy,72,16.0
2019-01-11 15:10:13.500,0.0004999999999999,0.7215,-0.1094999999999999,6.875,-11.02125,4.1615,A,bench,heavy,72,16.0
2019-01-11 15:10:13.650,0.014,1.023,-0.09,9.36,-8.90225,-4.4665,A,bench,heavy,72,16.0
